repo_url, clone_url, target_commit, target_date
nicolasgramlich/AndEngine, https://github.com/nicolasgramlich/AndEngine.git, bf61a98e65e6eb8d1e02e526cea382cbf6953042, 2015-07-31
androidannotations/androidannotations, https://github.com/androidannotations/androidannotations.git, 997c3247ded49c7ab6ca2b11ce33ede50bae704a, 2015-08-07
electron/electron, https://github.com/electron/electron.git, 1a5269e51b45545ff2148f8a10a3da63540ca485, 2015-08-11
sandstorm-io/capnproto, https://github.com/capnproto/capnproto.git, 33ebc2a47378fc7e52b3021a97cc8709930b627b, 2015-07-31
celluloid/celluloid, https://github.com/celluloid/celluloid.git, 0c6701e14f668090df36d91e2481edd60b50f5c9, 2015-08-05
chef/chef, https://github.com/chef/chef.git, 2999d552880ff8fe2d056f89205114ab7c3c9979, 2015-08-11
d3/d3, https://github.com/d3/d3.git, 5b981a18db32938206b3579248c47205ecc94123, 2015-08-06
pallets/flask, https://github.com/pallets/flask.git, 7f3867491570746a4c14bdaa5bd59ec1b64cbfea, 2015-08-07
alexreisner/geocoder, https://github.com/alexreisner/geocoder.git, 54b45d10682466c2ab3afdb9fb520425ca6527e1, 2015-08-05
gruntjs/grunt, https://github.com/gruntjs/grunt.git, 2ddec56192ba6599cd3aeb0dc812f54cfe83c07b, 2015-08-06
ipython/ipython, https://github.com/ipython/ipython.git, 3bbbb455825dbad6414a8febc318c9c8d655ed4b, 2015-08-11
Leaflet/Leaflet, https://github.com/Leaflet/Leaflet.git, 0848635b9a94ae318de15cad45083da6f2a90be2, 2015-08-06
less/less.js, https://github.com/less/less.js.git, 19dc9e78b9abebfcf7ac13561f205b68094f9012, 2015-08-12
mailpile/Mailpile, https://github.com/mailpile/Mailpile.git, de6875ecf9d6881a820fcdf31c669d847a3c2c98, 2015-08-06
dropwizard/metrics, https://github.com/dropwizard/metrics.git, 3da5c88729eb4d08c914c6dd231a4eb7b97e0936, 2015-08-05
netty/netty, https://github.com/netty/netty.git, cf171ff52555b9e984a3b9103287f6b897dc8626, 2015-08-07
SFTtech/openage, https://github.com/SFTtech/openage.git, 95091ed4d009ba603ea6065a76b1c6e3ffd18aee, 2015-08-06
facebook/osquery, https://github.com/osquery/osquery.git, 64588be88bc4d7e225a313ae04249767c0749e4e, 2015-08-06
thoughtbot/paperclip, https://github.com/thoughtbot/paperclip.git, 47b540d5bc3f1da1f789d2bf421adaeb3cf6fcd6, 2015-08-07
powerline/powerline, https://github.com/powerline/powerline.git, f098ed2fe0a444f5ba790d9a2cc8332c01203517, 2015-08-06
puphpet/puphpet, https://github.com/puphpet/puphpet.git, dab20e70e592b4894612259f31ad125da2bb5aba, 2015-08-05
requirejs/requirejs, https://github.com/requirejs/requirejs.git, 1b37e7dc8ea717ce4c2aeb4e89cb36b41e459d20, 2015-08-05
ReactiveX/RxJava, https://github.com/ReactiveX/RxJava.git, bb89744b6b934fa43a187f2d5199c62bcf31e5d3, 2015-08-06
saltstack/salt, https://github.com/saltstack/salt.git, ac12bde29dd5ad5501a0a3b27b34f2d09f97cb34, 2015-08-11
sass/libsass, https://github.com/sass/libsass.git, 77962e11da934451c80615275c7b622314cee73d, 2015-08-07
bjorn/tiled, https://github.com/mapeditor/tiled.git, 9f6d77b1041a421e181b7484762e088faa057750, 2015-07-31
Respect/Validation, https://github.com/Respect/Validation.git, 743fafb31b44668f5db9a6e53ea925dc0b47a5c3, 2015-08-07
capistrano/capistrano, https://github.com/capistrano/capistrano.git, 5fa5fe1a9c9f7992550f342eec850ca499f1dd10, 2017-01-22
deis/deis, https://github.com/deis/deis.git, 7e73eae1ac39d3cadcfd776557d66789dd4c041c, 2017-01-22
ruby-grape/grape, https://github.com/ruby-grape/grape.git, 3b91395a66139d04ccafce9042d1e4a7c3b4812f, 2017-01-22
cantino/huginn, https://github.com/huginn/huginn.git, 410ece8682d15e26fcc23a02e8e3e043e042ad38, 2017-01-22
junit-team/junit4, https://github.com/junit-team/junit4.git, d066f5225f28e90d4bff88f9b7031481be29ec8e, 2017-01-22
kennethreitz/requests, https://github.com/kennethreitz/requests.git, 4c53915a2104482b1abf828f60d41ef6469774c9, 2017-01-22
symfony/symfony, https://github.com/symfony/symfony.git, 41c72ab90930e27f5214c5f6b7b2f05ab14b11f4, 2017-01-22
tornadoweb/tornado, https://github.com/tornadoweb/tornado.git, eb7ef4766aef1cd7fada45d97d1b610202331914, 2017-01-22
